Region name   Number Clusters
1             51384
2             45727
3             37482
5             34472
6             34191
4             32401
7             29972
12            29493
11            26241
10            25307
8             25288
17            22489
9             22409
X             20960
19            18764
14            18644
15            18204
16            16905
13            16149
20            12809
18            12704
22            8631 
21            6911 
Y             951  
9             120  
GL000219.1    44   
GL000205.2    38   
KI270733.1    36   
KI270706.1    20   
KI270728.1    19   
GL000009.2    16   
KI270744.1    15   
GL000195.1    15   
GL000218.1    15   
GL000194.1    14   
KI270742.1    11   
KI270467.1    9    
KI270726.1    9    
KI270750.1    9    
KI270442.1    9    
KI270713.1    8    
GL000008.2    8    
KI270729.1    6    
KI270722.1    5    
KI270749.1    4    
KI270743.1    4    
KI270714.1    4    
GL000224.1    4    
KI270720.1    4    
GL000225.1    3    
GL000220.1    3    
KI270724.1    3    
KI270711.1    3    
KI270719.1    3    
KI270735.1    3    
KI270712.1    3    
KI270466.1    3    
GL000221.1    3    
KI270725.1    2    
KI270707.1    2    
GL000216.2    2    
KI270734.1    2    
KI270754.1    2    
KI270736.1    2    
KI270751.1    2    
KI270732.1    2    
KI270753.1    2    
KI270752.1    2    
GL000213.1    2    
KI270582.1    1    
KI270748.1    1    
KI270333.1    1    
KI270330.1    1    
KI270435.1    1    
KI270723.1    1    
GL000208.1    1    
KI270717.1    1    
KI270747.1    1    
KI270517.1    1    
KI270731.1    1    
GL000214.1    1    
KI270708.1    1    
KI270709.1    1    
KI270591.1    1    
KI270746.1    1    
KI270519.1    1    
KI270727.1    1    
KI270738.1    1    
KI270737.1    1    
KI270418.1    1    
KI270587.1    1    
